"","id","treatment","treatment_mirror"
"contralateral_chick_ctr_1","contralateral_chick_ctr_1","control","contra_control"
"contralateral_chick_ctr_10","contralateral_chick_ctr_10","control","contra_control"
"contralateral_chick_ctr_11","contralateral_chick_ctr_11","control","contra_control"
"contralateral_chick_ctr_12","contralateral_chick_ctr_12","control","contra_control"
"contralateral_chick_ctr_13","contralateral_chick_ctr_13","control","contra_control"
"contralateral_chick_ctr_14","contralateral_chick_ctr_14","control","contra_control"
"contralateral_chick_ctr_15","contralateral_chick_ctr_15","control","contra_control"
"contralateral_chick_ctr_16","contralateral_chick_ctr_16","control","contra_control"
"contralateral_chick_ctr_17","contralateral_chick_ctr_17","control","contra_control"
"contralateral_chick_ctr_18","contralateral_chick_ctr_18","control","contra_control"
"contralateral_chick_ctr_19","contralateral_chick_ctr_19","control","contra_control"
"contralateral_chick_ctr_20","contralateral_chick_ctr_20","control","contra_control"
"contralateral_chick_ctr_22","contralateral_chick_ctr_22","control","contra_control"
"contralateral_chick_ctr_23","contralateral_chick_ctr_23","control","contra_control"
"contralateral_chick_ctr_24","contralateral_chick_ctr_24","control","contra_control"
"contralateral_chick_ctr_25","contralateral_chick_ctr_25","control","contra_control"
"contralateral_chick_ctr_26","contralateral_chick_ctr_26","control","contra_control"
"contralateral_chick_ctr_27","contralateral_chick_ctr_27","control","contra_control"
"contralateral_chick_ctr_3","contralateral_chick_ctr_3","control","contra_control"
"contralateral_chick_ctr_4","contralateral_chick_ctr_4","control","contra_control"
"contralateral_chick_ctr_5","contralateral_chick_ctr_5","control","contra_control"
"contralateral_chick_ctr_6","contralateral_chick_ctr_6","control","contra_control"
"contralateral_chick_ctr_7","contralateral_chick_ctr_7","control","contra_control"
"contralateral_chick_ctr_8","contralateral_chick_ctr_8","control","contra_control"
"contralateral_chick_ctr_9","contralateral_chick_ctr_9","control","contra_control"
"contralateral_chick_exp_10","contralateral_chick_exp_10","triple","contra_triple"
"contralateral_chick_exp_12","contralateral_chick_exp_12","triple","contra_triple"
"contralateral_chick_exp_13","contralateral_chick_exp_13","triple","contra_triple"
"contralateral_chick_exp_14","contralateral_chick_exp_14","triple","contra_triple"
"contralateral_chick_exp_15","contralateral_chick_exp_15","triple","contra_triple"
"contralateral_chick_exp_16","contralateral_chick_exp_16","triple","contra_triple"
"contralateral_chick_exp_17","contralateral_chick_exp_17","triple","contra_triple"
"contralateral_chick_exp_18","contralateral_chick_exp_18","triple","contra_triple"
"contralateral_chick_exp_19","contralateral_chick_exp_19","triple","contra_triple"
"contralateral_chick_exp_2","contralateral_chick_exp_2","triple","contra_triple"
"contralateral_chick_exp_20","contralateral_chick_exp_20","triple","contra_triple"
"contralateral_chick_exp_21","contralateral_chick_exp_21","triple","contra_triple"
"contralateral_chick_exp_22","contralateral_chick_exp_22","triple","contra_triple"
"contralateral_chick_exp_23","contralateral_chick_exp_23","triple","contra_triple"
"contralateral_chick_exp_24","contralateral_chick_exp_24","triple","contra_triple"
"contralateral_chick_exp_25","contralateral_chick_exp_25","triple","contra_triple"
"contralateral_chick_exp_26","contralateral_chick_exp_26","triple","contra_triple"
"contralateral_chick_exp_27","contralateral_chick_exp_27","triple","contra_triple"
"contralateral_chick_exp_28","contralateral_chick_exp_28","triple","contra_triple"
"contralateral_chick_exp_29","contralateral_chick_exp_29","triple","contra_triple"
"contralateral_chick_exp_3","contralateral_chick_exp_3","triple","contra_triple"
"contralateral_chick_exp_30","contralateral_chick_exp_30","triple","contra_triple"
"contralateral_chick_exp_31","contralateral_chick_exp_31","triple","contra_triple"
"contralateral_chick_exp_4","contralateral_chick_exp_4","triple","contra_triple"
"contralateral_chick_exp_5","contralateral_chick_exp_5","triple","contra_triple"
"contralateral_chick_exp_6","contralateral_chick_exp_6","triple","contra_triple"
"contralateral_chick_exp_7","contralateral_chick_exp_7","triple","contra_triple"
"contralateral_chick_exp_8","contralateral_chick_exp_8","triple","contra_triple"
"contralateral_chick_exp_9","contralateral_chick_exp_9","triple","contra_triple"
"treated_chick_ctr_1","treated_chick_ctr_1","control","treat_control"
"treated_chick_ctr_10","treated_chick_ctr_10","control","treat_control"
"treated_chick_ctr_11","treated_chick_ctr_11","control","treat_control"
"treated_chick_ctr_12","treated_chick_ctr_12","control","treat_control"
"treated_chick_ctr_13","treated_chick_ctr_13","control","treat_control"
"treated_chick_ctr_14","treated_chick_ctr_14","control","treat_control"
"treated_chick_ctr_15","treated_chick_ctr_15","control","treat_control"
"treated_chick_ctr_16","treated_chick_ctr_16","control","treat_control"
"treated_chick_ctr_17","treated_chick_ctr_17","control","treat_control"
"treated_chick_ctr_18","treated_chick_ctr_18","control","treat_control"
"treated_chick_ctr_19","treated_chick_ctr_19","control","treat_control"
"treated_chick_ctr_20","treated_chick_ctr_20","control","treat_control"
"treated_chick_ctr_22","treated_chick_ctr_22","control","treat_control"
"treated_chick_ctr_23","treated_chick_ctr_23","control","treat_control"
"treated_chick_ctr_24","treated_chick_ctr_24","control","treat_control"
"treated_chick_ctr_25","treated_chick_ctr_25","control","treat_control"
"treated_chick_ctr_26","treated_chick_ctr_26","control","treat_control"
"treated_chick_ctr_27","treated_chick_ctr_27","control","treat_control"
"treated_chick_ctr_3","treated_chick_ctr_3","control","treat_control"
"treated_chick_ctr_4","treated_chick_ctr_4","control","treat_control"
"treated_chick_ctr_5","treated_chick_ctr_5","control","treat_control"
